,Recent headlines and conversations for GE,Polarity
0,Brazilian soccer under pressure to stop as COVID-19 surges,-0.3699
1,General Electric's (GE) Renewable Energy Secures Twin Contracts,0.5535
2,Long-suffering GE shareholders flex muscle on pay,0.4505
3,Vineyard Wind picks GE turbines for Massachusetts offshore wind farm,0.2785
4,"This electric GE range looks nice, but it’s missing a key function",0.2063
5,Is General Electric (GE) A Smart Long-Term Buy?,0.5265
6,GE Renewable Energy Turbines to Power First Major U.S. Offshore Wind Farm,0.6424
7,We tried GE’s air fryer toaster oven—here’s what happened,-0.0694
8,GE Digital Receives Highest Score for Continuous Process Manufacturing Use Case in 2021 Gartner Critical Capabilities for Manufacturing Execution Systems Report,-0.2382
9,GE appliances can now tell your kids to do their chores,0.0588
10,I tried to buy a climate-friendly refrigerator from GE. What I got was a carbon bomb.Phil McKenna,0.2192
11,"GE gets dismissal of most of shareholder lawsuit over accounting, disclosures",-0.6655
12,GE aims to freeze UK pension plans,0.3136
13,Way Day 2021: The 75 best deals to shop from Wayfair's biggest sale of the yearMelissa Lee and Nishka Dhawan,0.8473
14,General Electric (GE) Unit Wins Wind Turbine Supply Contract,0.6708
15,General Electric (GE) Signs Offshore Wind Deal With Toshiba,0.2779
16,Has General Electric (GE) Outpaced Other Conglomerates Stocks This Year?,0.1954
17,"Southeastern Asset Management Buys Biogen Inc, Alibaba Group Holding, JOYY Inc, Sells DuPont de ...",0.7787
18,Fact check: China's Haier purchased GE's appliance business in 2016McKenzie Sadeghi,0.1409
19,UPDATE 1-GE aims to freeze UK pension plans to cut costs,-0.1474
20,GE smart oven owners to receive free air fry upgrade,0.7286
21,"Marathon Trading Investment Management LLC Buys Pinduoduo Inc, Social Capital Hedosophia ...",0.4602
22,"General Electric Stock Has Nearly 30% Upside, Says Analyst",0.5155
23,"GE to prepay pensions, repay loan in latest debt reduction move",-0.3389
24,"Kensico Capital Management Corp Buys Alphabet Inc, UnitedHealth Group Inc, General Electric Co, ...",0.3985
25,AerCap to acquire GE's aircraft-leasing unit,0.5345
26,"Canadian Solar (CSIQ), Habitat Energy Ink Battery Storage Deal",0.7137
27,"General Electric, Raytheon Technologies, and the $7 Billion Race",0.4512
28,GE Aviation Just Won a Huge Order,0.8398
29,U.S. SEC says GE to pay $200 million penalty for misleading investors,-0.7145
30,"Stone Run Capital, Llc Buys Verisk Analytics Inc, Linde PLC, Everbridge Inc",0.0676
31,"Delta names Daniel Janki as CFO, was previously a GE executive",0.0754
32,3 Robinhood Stocks Investors Can't Get Enough Of,-0.0283
33,Breakingviews - Review: GE’s decline is the story of corporate BS,-0.2228
34,General Electric Stock: The Honeymoon Is Over,0.067
35,General Electric (GE) Flat As Market Gains: What You Should Know,0.4574
36,"Front Street Capital Management, Inc. Buys General Electric Co, Colfax Corp, Verizon ...",0.1947
37,"Nixon Capital, LLC Buys EOG Resources Inc, Pioneer Natural Resources Co, General Motors Co, ...",0.542
38,Here's What GE's Latest Earnings Really Mean to Investors,0.1334
39,"Premier Asset Managment LLC Buys General Electric Co, Toll Brothers Inc, Dollar Tree Inc, Sells ...",0.671
40,"Lincoln Capital LLC Buys Otis Worldwide Corp, S&P 500 ETF TRUST ETF, Target Corp, Sells ...",0.6481
41,"No reset, no bottom for GE yet - J.P. Morgan",-0.4235
42,"TrueNorth, Inc. Buys Martin Marietta Materials Inc, General Electric Co, Invesco BulletShares ...",0.1204
43,"No reset, no bottom for GE yet: J.P. Morgan",-0.4235
44,"GE, Toshiba Energy forge Haliade-X partnership in Japan",0.6684
45,"Theleme Partners LLP Buys Analog Devices Inc, Comcast Corp, AutoZone Inc, Sells General ...",-0.0502
46,"Check Capital Management Inc Buys AerCap Holdings NV, Markel Corp, Chevron Corp, Sells U.S. ...",0.0123
47,General Electric (GE) Wins HA Gas Turbine Contract in Malaysia,0.6858
48,"GE's Industrial Debt Will Balloon in 2021, but the Stock Is Still a Good Value",0.8043
49,"Woodstock Corp Buys APA Corp, Southwestern Energy Co, General Electric Co, Sells APA Corp, ...",0.5214
50,Forget the Falling Stock Market -- These 2 Stocks Are Flying Higher Monday,-0.0635
51,Breakingviews - The Exchange: The old GE is gone and that’s ok,0.3094
52,General Electric (GE) Units Secure Turbines & Services Contract,0.0369
53,GE is in talks to merge its aircraft leasing unit with rival AerCap,0.4345
54,"The Zacks Analyst Blog Highlights: Comcast, Netflix, PepsiCo, General Electric and Moderna",0.0523
55,U.S. Battery Storage Market Set to Boom: Stocks to Gain,0.6511
56,"What’s next for the 737 MAX – and BoeingKarl Gelles, Ramon Padilla, George Petras and Janet Loehrke",-0.1943
57,General Electric hosts conference call for investors,0.5313
58,"The Zacks Analyst Blog Highlights: NextEra Energy, Enphase, General Electric, AES Corp and Siemens",0.3805
59,Former GE exec Kekedjian to head Carl Icahn's investment firm,0.7086
60,GE receives Wells notice from U.S. SEC,0.3053
61,General Electric (GE) Arm Wins Grid Infrastructure Deal in Nepal,0.7758
62,UPDATE 2-Carl Icahn's investment firm appoints former GE dealmaker as CEO,0.7077
63,Boeing 777 grounding explained visually: Pratt and Whitney engine failure involved in two incidents on same dayGeorge Petras and Janet Loehrke,-0.3165
64,Cash burn in question for struggling GE,-0.6091
65,Equinor (EQNR) Plans to Divest Interests in Dogger Bank C With SSE,-0.0226
66,Better Buy: General Electric vs. Coca-Cola,0.4885
67,Carl Icahn Names Former GE Executive as New Icahn Enterprises CEO,0.5731
68,General Electric (GE) Dips More Than Broader Markets: What You Should Know,0.0396
69,The Wall Street Journal: Carl Icahn to name former GE exec as CEO of his company,0.6772
70,GE dismantles the business that ended its dominance a decade ago,0.3341
71,"Is Now The Time To Buy Stock In Microsoft, GE, Pinterest Or Amazon?",0.4375
72,Can GE's new toaster oven stack up against the competition?,-0.0506
73,General Electric (GE) Arm Wins Wind Turbine Deal in Vietnam,0.6735
74,Icahn Taps Ex-GE M&A Chief Kekedjian to Lead Firm,0.2363
75,PREVIEW-Cash burn in question for struggling GE,-0.5748
76,Why General Electric Stock Climbed Today,0.2956
77,"Is Now The Time To Buy Stock In Boeing, Pfizer, Tesla, GE Or Carnival?",0.2925
78,I tried to buy a climate-friendly refrigerator from GE. What I got was a carbon bomb.,-0.3248
79,General Electric (GE) Stock Sinks As Market Gains: What You Should Know,0.6137
80,Are You Looking for a High-Growth Dividend Stock? Portland General Electric (POR) Could Be a Great Choice,0.8101
81,GE Aims to Slash Debt by 35% by 2023,-0.5436
82,Is GE Stock A Buy After Biggest Deal In Turnaround Era?,0.2977
83,GE Sells Aircraft-Leasing Unit to AerCap: What It Means for Investors,0.4019
84,"General Electric (GE) Provides Outlook for FY21, Announces Deal",-0.0148
85,"GE Says Momentum Is Building for 2021, and Sets a Reverse Stock Split",0.395
86,Use the Recent Bounce in GE Stock to Sell into Strength,0.6606
87,"Zacks.com featured highlights include: Fortune Brands Home & Security, Crown Holdings, Mr. Cooper Group, Callon Petroleum and Portland General Electric",0.7568
88,What Investors Learned From GE's Investor Outlook Meeting,-0.0101
89,Why General Electric Stock Got Demoted Today,0.0512
90,Boeing Reportedly Nearing Huge Southwest Order,0.5956
91,Why General Electric Stock Is Down Today,0.0599
92,General Electric Goes for Growth in Renewable Energy,0.553
93,"Thinking About Buying Stock In Xpeng, GE, Tesla Or Apple?",0.5677
94,2 Big Takeaways From GE's Investor Day,0.2195
95,Is GE Stock Ready for a Turnaround?,0.541
96,Do Not Buy General Electric Stock. Period.,0.4067
97,Holding Slovenske elektrarne d.o.o. -- Moody's affirms HSE's Ba1 ratings; changes outlook to positive,0.687
98,GE signs 1GW Spanish framework deal,-0.3621
99,GE Nears Deal to Combine Air Leasing Unit With AerCap,0.4279
