,Recent headlines and conversations for SBUX,Polarity
0,Where will Starbucks be in 5 years?Joe Tenebruso,-0.1261
1,Starbucks opens a Yosemite store without a sign outsideDouglas A. McIntyre,-0.1493
2,UPDATE 3-Starbucks taps Hyatt financial chief to be its new CFO,-0.1746
3,"Starbucks pressing Lotte, CJ",-0.25
4,Why Bill Ackman Is Swapping Starbucks Stock For Domino's,0.185
5,Starbucks Expects Higher Profit as Customers Return â€” Update,0.5647
6,Starbucks Announces Q2 Fiscal Year 2021 Results Conference Call,0.458
7,Starbucks has a new Frappuccino for the summer,0.0528
8,DJ Starbucks stock falls after mixed fiscal Q2 earnings,-0.2
9,"'The little guy will prevail': Students, local businesses share mixed feelings about new Starbucks on Ninth Street",0.6027
10,"If You'd Invested $10,000 in Starbucks' IPO, This Is How Much Money You'd Have Now",0.3321
11,Starbucks Corp. stock underperforms Friday when compared to competitors,0.1102
12,Is this the death of the coffee shop? Starbucks is betting on contactless optionsNicholas Rossolillo,-0.203
13,Analysis: Starbucks is boldly addressing its racial bias problemDaniel B. Kline,0.0195
14,Have Starbucks' limited time offers lost their appeal?Daniel B. Kline,-0.6
15,Bill Ackman Swaps Starbucks for Domino's,-0.0465
16,"Tsai Capital Corp Buys Snowflake Inc, Spotify Technology SA, Zillow Group Inc, Sells Starbucks ...",0.6831
17,Is Starbucks (SBUX) Stock Outpacing Its Retail-Wholesale Peers This Year?,0.2408
18,Fitch Rates Starbucks' Proposed $750MM Notes Issuance 'A-',-0.1553
19,Starbucks' summer menu includes a Strawberry Funnel Cake Frappuccino and Unicorn Pops,0.0196
20,Starbucks opens a new store in China every 15 hoursDaniel B. Kline,0.0818
21,"Starbucks Corp. stock rises Thursday, outperforms market",0.4529
22,"Starbucks CFO Maw to retire, shares tumble",-0.0777
23,UPDATE 1-Starbucks investors mourn end of an era as Schultz exits,-0.648
24,Starbucks Sees Profit Rising as Customers Return,0.7599
25,"Generate Announces Unique Partnership With Starbucks to Supply Clean Energy to Starbucks Stores and Provide Affordable, Green Power to Surrounding Communities With New York Community Solar Projects",0.9533
26,Starbucks Is Recovering From Its Coronavirus Woes,-0.372
27,"If You Invested $1,000 In Starbucks Stock One Year Ago, Here's How Much You'd Have Now",0.454
28,Starbucks slowly builds a new bakery brandDaniel B. Kline,-0.3594
29,"Dunkin' Donuts in vise grip of Starbucks, McDonald'sDaniel B. Kline",-0.3698
30,"As Starbucks ramps up a new bakery line, it's hard to forget its string of second-brand failuresDaniel B. Kline",0.3426
31,Starbucks Reports Q2 Fiscal 2021 Results,-0.1081
32,Starbucks investors mourn end of an era as Schultz exits,-0.5509
33,"UPDATE 3-Starbucks CFO Maw to retire, shares tumble",-0.2593
34,Starbucks tops Apple in mobile payments: A Foolish TakeLeo Sun,0.495
35,Starbucks' 6 Key Financial Ratios (SBUX),-0.0594
36,Better Buy: Starbucks vs. DoorDash,0.4911
